Larval_ID,Sex,Family,Full_Treatment,Photo_Treatment,Diet_Treatment,5th_Day,Photo_Day,Blocking_Day,Devo_Time,Eclosion_Date,Devo_Time2,Gray_Value_R,Gray_Value_G,Gray_Value_B,Avg_Gray,Avg_Gray_2,Darkness,Percent_R,Percent_G,Percent_B,Avg_Percent,Avg_Percent_Melanin,Total_Melanin_Metric,Notes
T143,M,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/3/23,7,6/25/23,22,14.680,14.614,14.645,14.646,14.647,14.353,8.719,8.754,11.284,9.586,8.737,137.583,pupa short wings
T144,F,24,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/3/23,7,6/27/23,24,14.804,14.365,19.594,16.254,14.585,14.416,6.878,6.972,18.292,10.714,6.925,154.448,pupa short wings
T145,,25,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,,,,,14.635,13.407,18.803,15.615,14.021,14.979,10.200,9.316,23.854,14.457,9.758,216.546,
T146,,25,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,,,,,17.311,16.790,21.752,18.618,17.051,11.949,4.256,4.121,13.548,7.308,4.189,87.331,
T147,,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,,,,,16.476,16.218,17.219,16.638,16.347,12.653,6.500,6.479,9.964,7.648,6.490,96.766,
T148,,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,,,,,15.428,15.145,16.750,15.774,15.287,13.714,7.901,7.925,12.504,9.443,7.913,129.501,
T149,,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,,,,,15.269,15.068,15.858,15.398,15.169,13.832,6.838,6.816,9.883,7.846,6.827,108.517,
T150,,34,LongPhotoLowTyr,Long,Low,5/27/23,5/30/23,6/4/23,8,,,18.644,18.031,18.795,18.490,18.338,10.663,5.182,5.250,8.586,6.339,5.216,67.593,not fully molted
T151,,33,LongPhotoLowTyr,Long,Low,5/28/23,5/31/23,,,,,15.832,15.381,17.143,16.119,15.607,13.394,5.478,5.342,9.063,6.628,5.410,88.768,
T152,,34,LongPhotoLowTyr,Long,Low,5/28/23,5/31/23,,,,,13.961,13.672,15.598,14.410,13.817,15.184,7.879,7.904,12.360,9.381,7.892,142.436,
T153,,37,LongPhotoLowTyr,Long,Low,5/28/23,5/31/23,,,,,15.634,15.266,16.331,15.744,15.450,13.550,6.039,6.071,9.243,7.118,6.055,96.444,
T154,M,33,LongPhotoLowTyr,Long,Low,5/28/23,5/31/23,6/4/23,7,6/27/23,23,15.304,14.696,16.722,15.574,15.000,14.000,6.036,5.766,9.426,7.076,5.901,99.064,pupa deformed
T155,F,33,LongPhotoLowTyr,Long,Low,5/29/23,6/1/23,6/5/23,7,6/29/23,24,14.310,14.078,15.549,14.646,14.194,14.806,9.839,10.126,15.113,11.693,9.983,173.122,"pupa short wings, used photo b"
T156,,24,LongPhotoLowTyr,Long,Low,5/29/23,6/1/23,,,,,16.844,15.941,21.037,17.941,16.393,12.608,6.034,5.638,16.285,9.319,5.836,117.489,
T157,F,33,LongPhotoLowTyr,Long,Low,5/30/23,6/2/23,6/5/23,6,6/28/23,23,15.573,15.351,18.135,16.353,15.462,13.538,5.642,5.619,10.546,7.269,5.631,98.408,"pupa short wings, used photo b"
T158,,24,LongPhotoLowTyr,Long,Low,5/30/23,6/2/23,,,,,14.820,14.084,18.694,15.866,14.452,14.548,7.602,7.506,17.802,10.970,7.554,159.592,used photo b
T159,,24,LongPhotoLowTyr,Long,Low,5/30/23,6/2/23,,,,,15.611,14.865,19.200,16.559,15.238,13.762,6.460,6.189,16.712,9.787,6.325,134.689,
T160,,24,LongPhotoLowTyr,Long,Low,5/30/23,6/2/23,6/11/23,12,,,14.884,14.360,18.831,16.025,14.622,14.378,8.460,8.313,21.003,12.592,8.387,181.048,pupa severe deform
T161,,37,LongPhotoLowTyr,Long,Low,5/31/23,6/3/23,,,,,14.934,14.629,16.670,15.411,14.782,14.219,12.206,12.476,20.976,15.219,12.341,216.396,"rear motor issues? Hard to get good photo, used photo b"
T162,,24,LongPhotoLowTyr,Long,Low,5/31/23,6/3/23,6/7/23,7,,,20.563,17.792,20.458,19.604,19.178,9.823,8.088,5.495,18.697,10.760,6.792,105.690,"pupa severe deform, died as pupa, used photo b"
T163,M,24,LongPhotoLowTyr,Long,Low,5/31/23,6/3/23,6/7/23,7,6/30/23,23,14.673,14.484,18.993,16.050,14.579,14.422,8.734,8.665,20.963,12.787,8.700,184.413,pupa short wings
T164,,37,LongPhotoLowTyr,Long,Low,5/31/23,6/3/23,,,,,13.731,13.429,17.626,14.929,13.580,15.420,10.795,10.791,21.338,14.308,10.793,220.629,
T165,M,33,LongPhotoLowTyr,Long,Low,6/1/23,6/4/23,6/8/23,7,,,17.701,17.081,18.713,17.832,17.391,11.609,3.614,3.597,6.583,4.598,3.606,53.378,"pupa severe deform, died trying to emerge?, used photo a"
T166,F,24,LongPhotoLowTyr,Long,Low,6/1/23,6/4/23,6/8/23,7,6/30/23,22,15.215,13.923,18.013,15.717,14.569,14.431,9.590,8.770,18.327,12.229,9.180,176.477,"pupa short wings, used photo a"
T167,,37,LongPhotoLowTyr,Long,Low,6/1/23,6/4/23,,,,,13.942,13.578,14.692,14.071,13.760,15.240,39.022,39.002,53.321,43.782,39.012,667.233,used photo c
T168,,37,LongPhotoLowTyr,Long,Low,6/1/23,6/4/23,,,,,18.045,17.374,19.362,18.260,17.710,11.291,5.811,5.736,11.455,7.667,5.774,86.568,used photo c
