ID,diet_treatment,egg_day,4th_mass_before ,4th_mass_after,4th_mass_change,4th_food_before,4th_food_after,4th_food_change,4th_food_dry,5th_day,5th_mass_before,5th_mass_after,5th_mass_change,5th_food_before,5th_food_after,5th_food_change,5th_food_dry,photo_day,photo_mass,blocking_day,devo_total,devo_5th,blocking_mass,larval_notes,R_percent,G_percent,B_percent,avg_percent_noB,avg_percent,R_gray,G_gray,B_gray,avg_gray,avg_gray_noB,darkness,darkness_noB,melanin_metric,melanin_metric_noB,photo_notes
425,LOW-2,1/10/23,,,,,,,,2/4/23,,,,,,,,2/9/23,1.9723,2/17/23,38,13,2.1122,,81.42,82.02,84.38,81.72,82.61,11.67,11.85,10.99,11.50,11.76,23.50,23.24,1940.98,1899.17,
426,LOW-2,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,1.5104,2/17/23,38,14,1.9348,,66.97,67.87,71.17,67.42,68.67,12.69,12.77,12.09,12.52,12.73,22.48,22.27,1543.93,1501.44,
427,LOW-2,1/10/23,,,,,,,,2/5/23,669.7,946.3,276.6,3137.2,2438.1,699.1,638.2,,,,,,,went through extra molt but died molting,,,,,,,,,,,,,,,
428,LOW-2,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.9773,2/17/23,38,14,2.7938,,80.70,80.90,82.55,80.80,81.38,11.02,11.34,10.66,11.01,11.18,23.99,23.82,1952.66,1924.66,used photo B
429,LOW-2,1/10/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.5792,2/16/23,37,12,2.4839,,76.30,76.80,79.24,76.55,77.45,11.87,12.01,11.08,11.65,11.94,23.35,23.06,1808.12,1765.24,
430,LOW-2,1/10/23,,,,,,,,2/11/23,,,,,,,,2/15/23,1.2309,3/6/23,55,23,1.4041,,81.83,82.25,84.64,82.04,82.91,9.97,10.12,9.20,9.76,10.05,25.24,24.96,2092.29,2047.31,used photo B
431,LOW-2,1/10/23,,,,,,,,2/5/23,802.3,1060.1,257.8,2553.5,1879.3,674.2,502.5,2/10/23,2.0691,2/18/23,39,13,2.4538,,64.66,65.79,73.49,65.23,67.98,15.54,15.50,14.75,15.26,15.52,19.74,19.48,1341.70,1270.58,
432,LOW-2,1/10/23,,,,,,,,2/5/23,1058.1,1476.3,418.2,2907.2,1868.2,1039,496.8,2/10/23,1.9573,2/18/23,39,13,2.1926,,68.81,69.70,76.87,69.26,71.79,13.96,13.96,13.29,13.74,13.96,21.26,21.04,1526.57,1457.13,
433,LOW-2,1/10/23,,,,,,,,2/6/23,,,,,,,,2/11/23,2.3902,2/19/23,40,13,2.6519,,80.03,80.76,83.98,80.40,81.59,14.50,14.69,13.82,14.34,14.60,20.66,20.41,1685.92,1640.46,used photo B
434,LOW-2,1/10/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
435,LOW-2,1/10/23,,,,,,,,2/7/23,,,,,,,,2/12/23,2.2168,2/21/23,42,14,2.4832,,66.87,68.37,75.31,67.62,70.18,12.63,12.61,12.34,12.53,12.62,22.47,22.38,1577.25,1513.34,
436,LOW-2,1/10/23,,,,,,,,2/8/23,,,,,,,,2/13/23,2.1997,2/22/23,43,14,2.7487,,85.81,86.15,87.74,85.98,86.57,10.05,10.35,9.22,9.87,10.20,25.13,24.80,2175.13,2132.30,
437,LOW-2,1/10/23,,,,,,,,2/6/23,,,,,,,,2/11/23,2.798,2/20/23,41,14,3.0339,,83.82,84.59,87.07,84.21,85.16,11.91,11.87,10.79,11.52,11.89,23.48,23.11,1999.27,1945.98,
438,LOW-2,1/10/23,,,,,,,,2/6/23,,,,,,,,2/11/23,3.2947,2/17/23,38,11,2.9375,,69.83,71.02,76.54,70.43,72.46,13.55,13.50,12.93,13.33,13.53,21.67,21.48,1570.52,1512.38,used photo B
439,LOW-2,1/10/23,,,,,,,,2/7/23,,,,,,,,2/12/23,3.0003,2/20/23,41,13,3.1453,,75.37,76.19,81.00,75.78,77.52,11.88,11.96,11.21,11.68,11.92,23.32,23.08,1807.51,1749.00,
440,LOW-2,1/10/23,,,,,,,,,,,,,,,,,,,,,,not developing,,,,,,,,,,,,,,,
441,LOW-2,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,1.9021,2/18/23,38,14,2.2911,,85.93,86.26,88.70,86.10,86.96,11.82,11.99,11.25,11.69,11.91,23.31,23.10,2027.41,1988.36,
442,LOW-2,1/11/23,,,,,,,,2/5/23,778.1,1045.9,267.8,2691.9,2039.5,652.4,576.7,2/10/23,3.1932,2/17/23,37,12,2.9581,,65.25,65.80,73.41,65.53,68.15,14.03,14.03,13.50,13.85,14.03,21.15,20.97,1441.22,1374.06,
443,LOW-2,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.0608,2/19/23,39,15,2.5467,,81.46,81.55,83.33,81.51,82.11,11.41,11.68,10.85,11.31,11.55,23.69,23.46,1944.99,1911.70,used photo B
444,LOW-2,1/11/23,,,,,,,,2/5/23,702,950,248,3184,2509.6,674.4,681,2/10/23,1.9088,2/19/23,39,14,2.1541,,67.19,68.11,71.39,67.65,68.90,13.71,13.84,13.08,13.54,13.78,21.46,21.23,1478.29,1435.87,
445,LOW-2,1/11/23,,,,,,,,,,,,,,,,,,,,,,not developing,,,,,,,,,,,,,,,
446,LOW-2,1/11/23,,,,,,,,2/7/23,,,,,,,,2/12/23,1.6931,2/21/23,41,14,2.1127,,70.40,71.32,74.72,70.86,72.15,12.70,12.88,12.08,12.55,12.79,22.45,22.21,1619.45,1573.80,used photo B
447,LOW-2,1/11/23,,,,,,,,2/7/23,,,,,,,,,,,,,,not sure when blocked,,,,,,,,,,,,,,,
448,LOW-2,1/11/23,,,,,,,,2/6/23,,,,,,,,2/11/23,2.0718,2/20/23,40,14,2.7243,,72.72,74.20,78.56,73.46,75.16,13.90,13.75,12.92,13.52,13.83,21.48,21.18,1614.19,1555.52,used photo B
449,LOW-2,1/11/23,,,,,,,,2/9/23,,,,,,,,,,2/25/23,45,16,2.7594,,72.60,73.22,77.04,72.91,74.29,10.76,10.91,10.34,10.67,10.84,24.33,24.17,1807.39,1761.87,used photo B
450,LOW-2,1/11/23,,,,,,,,2/8/23,,,,,,,,2/13/23,1.9982,2/21/23,41,13,2.3089,,72.68,73.28,79.96,72.98,75.31,11.89,12.11,11.38,11.79,12.00,23.21,23.00,1747.62,1678.54,
451,LOW-2,1/11/23,,,,,,,,2/7/23,,,,,,,,2/12/23,1.6245,2/23/23,43,16,2.2573,,79.75,80.39,83.22,80.07,81.12,12.38,12.59,11.80,12.26,12.49,22.74,22.52,1844.94,1802.78,used photo C
452,LOW-2,1/11/23,,,,,,,,2/7/23,,,,,,,,2/12/23,1.7281,2/21/23,41,14,1.9171,,86.19,86.51,88.02,86.35,86.91,11.02,11.29,10.48,10.93,11.16,24.07,23.85,2091.84,2059.02,used photo B
453,LOW-2,1/11/23,,,,,,,,2/10/23,,,,,,,,2/15/23,1.4698,2/24/23,44,14,1.8426,,77.34,78.27,81.60,77.81,79.07,10.51,10.57,9.75,10.28,10.54,24.72,24.46,1954.87,1903.11,used photo C
454,LOW-2,1/11/23,,,,,,,,2/10/23,,,,,,,,2/15/23,2.0317,2/24/23,44,14,2.4964,,81.62,82.29,85.16,81.96,83.02,10.63,10.63,9.65,10.30,10.63,24.70,24.37,2050.40,1997.24,used photo D
455,LOW-2,1/11/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
456,LOW-2,1/11/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
457,LOW-2,1/11/23,,,,,,,,,,,,,,,,,,,,,,died molting,,,,,,,,,,,,,,,
501,HIGH-2,1/9/23,111.4,166.7,55.3,1982.8,1758.6,224.2,446,2/2/23,751.7,1028.6,276.9,2591.3,1702.3,889,429.3,2/7/23,2.3305,2/14/23,36,12,2.1801,,81.07,81.87,84.19,81.47,82.38,12.71,12.60,11.54,12.28,12.66,22.72,22.35,1871.32,1820.45,used photo B
502,HIGH-2,1/9/23,122.4,177.3,54.9,2003.7,1769.5,234.2,446.3,2/4/23,1165.8,1513.9,348.1,2790.3,1835.4,954.9,471.2,2/9/23,2.6745,2/17/23,39,13,2.4588,,78.52,79.95,84.34,79.24,80.94,10.61,10.74,9.81,10.39,10.68,24.61,24.33,1992.12,1927.39,used OG photo
503,HIGH-2,1/9/23,114.9,177.2,62.3,1868,1646.6,221.4,424.6,2/4/23,1134.4,1414,279.6,2551.4,1650.3,901.1,421.3,2/9/23,2.2429,2/18/23,40,14,2.6009,,80.62,81.93,85.91,81.28,82.82,10.95,10.96,9.93,10.61,10.96,24.39,24.05,2019.70,1954.26,used photo B
504,HIGH-2,1/9/23,104.2,165.2,61,2014.2,1799.5,214.7,454.2,2/5/23,1066.1,1399.3,333.2,2666.7,1766.6,900.1,501.4,2/10/23,2.733,2/18/23,40,13,2.5368,,75.62,76.93,80.69,76.28,77.75,12.02,12.02,11.14,11.73,12.02,23.27,22.98,1809.42,1752.80,
505,HIGH-2,1/9/23,113.1,172.1,59,2275.9,2045.3,230.6,518.6,2/4/23,1054.7,1334.9,280.2,2995.6,2106.9,888.7,544.7,2/9/23,2.4194,2/17/23,39,13,2.4985,,74.22,75.66,79.36,74.94,76.41,11.39,11.29,10.22,10.97,11.34,24.03,23.66,1836.47,1773.08,
506,HIGH-2,1/10/23,189.1,287.4,98.3,2127.8,1776.2,351.6,435.7,2/3/23,,,,,,,,2/8/23,3.1051,2/17/23,38,14,3.0746,,71.89,73.58,80.29,72.74,75.25,13.86,13.45,12.43,13.25,13.66,21.75,21.35,1637.01,1552.53,used OG photo
507,HIGH-2,1/10/23,139,185.1,46.1,2142.7,1902.7,240,476.8,2/5/23,,,,,,,,2/10/23,2.9677,2/18/23,39,13,2.6455,,70.54,71.77,76.12,71.16,72.81,13.08,12.98,12.20,12.75,13.03,22.25,21.97,1619.78,1563.28,
508,HIGH-2,1/10/23,143.6,222.7,79.1,1901.9,1608.6,293.3,410,2/3/23,,,,,,,,2/8/23,2.8354,2/16/23,37,13,2.2416,,65.49,66.57,71.62,66.03,67.89,14.73,14.43,13.49,14.22,14.58,20.78,20.42,1411.05,1348.33,used photo B
509,HIGH-2,1/10/23,224.5,335.9,111.4,2209.6,1822.2,387.4,456.2,2/3/23,,,,,,,,2/8/23,3.7589,2/14/23,35,11,3.0833,,70.99,72.12,76.07,71.56,73.06,12.46,12.27,11.29,12.01,12.37,22.99,22.64,1679.89,1619.65,
510,HIGH-2,1/10/23,146.5,214.6,68.1,1825.7,1507.3,318.4,394.9,2/3/23,,,,,,,,2/8/23,2.6459,2/16/23,37,13,2.8166,,68.40,69.74,76.66,69.07,71.60,14.28,14.08,13.38,13.91,14.18,21.09,20.82,1509.81,1438.04,used photo C
511,HIGH-2,1/11/23,100.7,177.9,77.2,1980.7,1728.3,252.4,436.2,2/7/23,,,,,,,,2/12/23,2.4266,2/22/23,42,15,3.0606,,84.94,85.94,89.11,85.44,86.66,12.00,11.91,10.65,11.52,11.96,23.48,23.05,2034.86,1968.96,
512,HIGH-2,1/11/23,161.4,252,90.6,2206.6,1932.1,274.5,497.6,2/4/23,1214.2,1673.4,459.2,2739.2,1648.2,1091,431.4,2/9/23,3.0377,2/17/23,37,13,2.8497,,70.69,72.43,78.03,71.56,73.72,12.40,12.22,11.09,11.90,12.31,23.10,22.69,1702.61,1623.70,
513,HIGH-2,1/11/23,119.9,184.8,64.9,1889.5,1693.6,195.9,428.1,2/6/23,,,,,,,,2/11/23,2.8198,2/19/23,39,13,2.8215,,73.92,75.17,78.91,74.55,76.00,14.84,14.61,13.30,14.25,14.73,20.75,20.28,1577.00,1511.40,used photo B
514,HIGH-2,1/11/23,101.6,127.9,26.3,2116.6,1989.8,126.8,506.9,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
515,HIGH-2,1/11/23,148.5,216.2,67.7,1801.4,1537.6,263.8,384.2,2/4/23,,,,,,,,2/9/23,2.723,2/17/23,37,13,2.7798,,75.98,77.41,84.29,76.70,79.23,11.87,11.74,10.83,11.48,11.81,23.52,23.20,1863.41,1778.94,used OG photo
516,HIGH-2,1/9/23,,,,,,,,2/5/23,613.5,713.3,99.8,2853,2492.8,360.2,689.8,2/10/23,1.6656,2/18/23,40,13,2.0508,,72.53,73.41,75.66,72.97,73.87,11.14,10.89,9.81,10.61,11.02,24.39,23.99,1801.36,1750.19,used photo C
517,HIGH-2,1/9/23,,,,,,,,2/6/23,,,,,,,,2/11/23,2.7387,2/19/23,41,13,2.6608,,80.62,82.06,85.43,81.34,82.70,12.28,12.18,10.85,11.77,12.23,23.23,22.77,1921.20,1852.11,used photo D
518,HIGH-2,1/9/23,,,,,,,,2/7/23,,,,,,,,2/12/23,2.1901,2/21/23,43,14,2.8399,,68.18,69.45,73.39,68.82,70.34,11.86,11.77,10.84,11.49,11.82,23.51,23.19,1653.69,1595.48,
519,HIGH-2,1/9/23,,,,,,,,2/11/23,,,,,,,,2/15/23,1.0816,3/5/23,55,22,2.0289,,84.45,85.40,88.22,84.93,86.02,10.29,10.20,9.04,9.84,10.25,25.16,24.76,2164.06,2102.32,
520,HIGH-2,1/9/23,,,,,,,,2/6/23,,,,,,,,2/11/23,2.0201,2/20/23,42,14,2.3273,,73.51,74.51,77.44,74.01,75.15,14.65,14.46,13.28,14.13,14.56,20.87,20.45,1568.45,1513.13,used photo B
521,HIGH-2,1/9/23,,,,,,,,2/5/23,1295.2,1812.4,517.2,2756,1663.1,1092.9,425.2,2/10/23,3.5952,2/17/23,39,12,3.3161,,75.84,76.86,80.54,76.35,77.75,10.79,10.75,9.99,10.51,10.77,24.49,24.23,1904.02,1849.96,
522,HIGH-2,1/9/23,,,,,,,,2/5/23,807.9,1074.1,266.2,3107.1,2427.3,679.8,673.2,2/10/23,2.2339,2/18/23,40,13,2.2989,,71.56,72.86,76.62,72.21,73.68,13.13,12.85,11.50,12.49,12.99,22.51,22.01,1658.29,1589.34,used photo C
523,HIGH-2,1/9/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
524,HIGH-2,1/9/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.1328,2/18/23,40,14,2.1741,,74.48,75.82,80.26,75.15,76.85,9.33,9.21,8.40,8.98,9.27,26.02,25.73,1999.72,1933.61,
525,HIGH-2,1/9/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.5517,2/18/23,40,14,2.7634,,82.87,83.49,85.58,83.18,83.98,8.22,8.22,7.29,7.91,8.22,27.09,26.78,2275.02,2227.56,
526,HIGH-2,1/9/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
527,HIGH-2,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.4027,2/16/23,37,13,2.4788,,71.78,73.19,77.73,72.49,74.23,14.37,14.05,12.84,13.75,14.21,21.25,20.79,1577.21,1506.96,
528,HIGH-2,1/10/23,,,,,,,,2/2/23,797.9,1136.3,338.4,3050,2100.6,949.4,563.9,2/7/23,2.4527,2/13/23,34,11,2.2243,,84.58,85.23,87.44,84.91,85.75,13.47,13.37,12.29,13.04,13.42,21.96,21.58,1882.78,1832.25,
529,HIGH-2,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.8067,2/15/23,36,12,2.8743,,73.08,74.84,79.58,73.96,75.83,12.12,11.84,10.88,11.61,11.98,23.39,23.02,1773.49,1702.56,used photo C
530,HIGH-2,1/10/23,,,,,,,,2/6/23,,,,,,,,2/11/23,2.1137,2/20/23,41,14,2.0744,,66.51,68.94,76.49,67.73,70.65,12.19,12.11,11.61,11.97,12.15,23.03,22.85,1626.99,1547.52,used OG photo
531,HIGH-2,1/10/23,,,,,,,,2/2/23,839.5,1189.9,350.4,2611.2,1563.3,1047.9,400.4,2/7/23,2.6631,2/14/23,35,12,2.3665,where is this photo?,,,,,,,,,,,,,,,
532,HIGH-2,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.488,2/16/23,37,13,2.5639,,69.24,70.36,75.54,69.80,71.71,13.57,13.44,12.67,13.23,13.51,21.77,21.50,1561.44,1500.35,
533,HIGH-2,1/10/23,,,,,,,,2/4/23,1036.5,1329.7,293.2,2798.7,1955.8,842.9,514.9,2/9/23,2.2245,2/17/23,38,13,2.4408,,82.53,83.71,86.93,83.12,84.39,11.48,11.34,10.14,10.99,11.41,24.01,23.59,2026.49,1960.80,used OG photo
534,HIGH-2,1/10/23,,,,,,,,2/7/23,,,,,,,,2/12/23,2.2622,2/24/23,45,17,3.1264,,68.08,69.39,76.80,68.74,71.42,12.69,12.71,12.13,12.51,12.70,22.49,22.30,1606.31,1532.79,used photo B
535,HIGH-2,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.3371,2/17/23,38,14,2.9937,,70.07,71.44,77.45,70.76,72.99,13.89,13.71,12.87,13.49,13.80,21.51,21.20,1569.94,1500.01,
536,HIGH-2,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,1.4003,2/17/23,38,14,1.8721,,79.66,80.17,83.83,79.92,81.22,12.69,12.50,11.36,12.18,12.60,22.82,22.41,1853.17,1790.50,
537,HIGH-2,1/10/23,,,,,,,,2/4/23,823.4,1085.5,262.1,2565.6,1716.2,849.4,446.1,2/9/23,2.1855,2/19/23,40,15,,no weight- started pupating in cup!,77.51,78.56,81.95,78.04,79.34,11.59,11.42,10.36,11.12,11.51,23.88,23.50,1894.37,1833.43,
538,HIGH-2,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.2777,2/17/23,38,14,2.5341,,65.89,67.62,74.04,66.76,69.18,15.14,15.07,14.51,14.91,15.11,20.09,19.90,1390.12,1328.09,used photo B
539,HIGH-2,1/10/23,,,,,,,,2/6/23,,,,,,,,2/12/23,1.7022,2/23/23,44,17,2.3335,photo day late,82.83,84.23,88.74,83.53,85.27,12.80,12.66,11.49,12.32,12.73,22.68,22.27,1934.13,1860.21,
540,HIGH-2,1/10/23,,,,,,,,2/5/23,864.2,1093.6,229.4,3084.9,2380.8,704.1,662.1,2/10/23,2.0991,2/19/23,40,14,2.2915,,65.17,66.85,72.42,66.01,68.15,13.16,13.23,12.68,13.02,13.20,21.98,21.81,1497.64,1439.35,
541,HIGH-2,1/10/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
542,HIGH-2,1/10/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
543,HIGH-2,1/10/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
544,HIGH-2,1/10/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
545,HIGH-2,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.4112,2/17/23,37,14,2.3996,,75.77,77.22,81.05,76.50,78.01,14.65,14.35,13.21,14.07,14.50,20.93,20.50,1632.82,1568.15,
546,HIGH-2,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.4985,2/16/23,36,13,2.5872,,86.92,87.54,89.33,87.23,87.93,12.50,12.39,11.14,12.01,12.45,22.99,22.56,2021.51,1967.47,used OG photo
547,HIGH-2,1/11/23,,,,,,,,2/4/23,715.4,919.4,204,2838.3,2167.8,670.5,553.4,2/9/23,1.6381,2/19/23,39,15,2.14,,82.23,83.35,86.16,82.79,83.91,10.87,10.64,9.45,10.32,10.76,24.68,24.25,2070.98,2007.24,used photo B
548,HIGH-2,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.5691,20-Feb,40,16,3.3495,,79.69,81.50,85.90,80.60,82.36,10.45,10.38,9.31,10.05,10.42,24.95,24.59,2055.24,1981.43,used photo B
549,HIGH-2,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,1.5929,2/17/23,37,13,2.3555,,59.13,60.30,68.26,59.72,62.56,12.19,12.00,11.58,11.92,12.10,23.08,22.91,1443.75,1367.77,used photo C
550,HIGH-2,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.9316,2/17/23,37,13,2.8905,,68.80,70.37,77.91,69.59,72.36,12.79,12.74,11.95,12.49,12.77,22.51,22.24,1628.58,1547.22,used photo B
551,HIGH-2,1/11/23,,,,,,,,2/6/23,,,,,,,,12-Feb,1.7416,2/21/23,41,15,1.958,photo day late,72.10,73.51,79.80,72.81,75.14,12.91,12.65,11.56,12.37,12.78,22.63,22.22,1700.09,1617.73,used OG photo
552,HIGH-2,1/11/23,,,,,,,,2/6/23,,,,,,,,2/12/23,1.7471,2/22/23,42,16,2.0606,photo day late,82.58,83.90,87.70,83.24,84.73,11.43,11.25,10.12,10.93,11.34,24.07,23.66,2039.09,1969.46,used photo B
553,HIGH-2,1/11/23,,,,,,,,2/6/23,,,,,,,,2/11/23,2.22,2/21/23,41,15,2.6953,,73.48,74.92,79.37,74.20,75.92,15.20,15.17,14.33,14.90,15.19,20.10,19.82,1526.06,1470.27,used photo C
554,HIGH-2,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.2899,2/20/23,40,16,3.1455,,83.40,84.67,87.87,84.04,85.31,8.29,8.37,7.45,8.04,8.33,26.96,26.67,2300.33,2241.21,
555,HIGH-2,1/11/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
556,HIGH-2,1/11/23,,,,,,,,2/8/23,,,,,,,,2/13/23,1.9324,2/23/23,43,15,2.5766,,83.94,85.11,88.14,84.53,85.73,9.52,9.41,8.32,9.08,9.47,25.92,25.54,2221.84,2158.35,used OG photo
557,HIGH-2,1/11/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
139a,LOW,1/10/23,,,,,,,,2/2/23,,,,,,,,2/7/23,2.3521,2/14/23,35.00,12.00,2.3227,,63.04,63.72,67.62,63.38,64.79,14.04,13.97,13.13,13.71,14.01,21.29,21.00,1379.23,1330.66,use photo B
139b,LOW,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.3256,2/17/23,38.00,14.00,3.1705,,71.52,71.82,74.95,71.67,72.76,14.67,14.75,13.74,14.39,14.71,20.61,20.29,1499.89,1454.18,
