ID,diet_treatment,egg_day,4th_mass_before ,4th_mass_after,4th_mass_change,4th_food_before,4th_food_after,4th_food_change,4th_food_dry,5th_day,5th_mass_before,5th_mass_after,5th_mass_change,5th_food_before,5th_food_after,5th_food_change,5th_food_dry,photo_day,photo_mass,blocking_day,devo_total,devo_5th,blocking_mass,larval_notes,R_percent,G_percent,B_percent,avg_percent_noB,avg_percent,R_gray,G_gray,B_gray,avg_gray,avg_gray_noB,darkness,darkness_noB,melanin_metric,melanin_metric_noB,photo_notes
130,LOW,1/10/23,,,,,,,,2/2/23,784.5,1069.2,284.7,2575.9,1748.5,827.4,437.6,2/7/23,2.6142,13-Feb,34.00,11.00,2.2926,,80.63,81.00,83.71,80.82,81.78,13.73,13.84,12.59,13.39,13.79,21.61,21.22,1767.54,1714.49,
131,LOW,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.6577,2/15/23,36.00,12.00,2.8889,,66.29,67.08,72.77,66.69,68.71,14.68,14.72,13.98,14.46,14.70,20.54,20.30,1411.37,1353.71,Used photo B
132,LOW,1/10/23,,,,,,,,2/1/23,,,,,,,,2/6/23,3.3234,2/11/23,32.00,10.00,2.583,,65.66,65.82,71.20,65.74,67.56,14.90,14.93,14.06,14.63,14.92,20.37,20.09,1376.20,1320.39,
133,LOW,1/10/23,,,,,,,,2/2/23,1098.1,1559.1,461,2798.7,1344.3,1454.4,335.3,2/7/23,3.3939,2/12/23,33.00,10.00,2.6122,,70.69,70.71,75.21,70.70,72.20,13.49,13.43,12.56,13.16,13.46,21.84,21.54,1576.92,1522.88,
134,LOW,1/10/23,,,,,,,,2/2/23,1346.5,1955.5,609,2439,856.7,1582.3,222.2,2/7/23,4.0577,2/13/23,34.00,11.00,3.0959,,70.38,70.82,75.10,70.60,72.10,13.33,13.33,12.49,13.05,13.33,21.95,21.67,1582.60,1529.90,use OG photo
135,LOW,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.5566,2/16/23,37.00,13.00,2.6977,,,,,,,,,,,,,,,,not sure where photo is
136,LOW,1/10/23,,,,,,,,2/4/23,,,,,,,,2/9/23,3.2183,2/16/23,37.00,12.00,3.1408,,60.21,59.84,69.29,60.03,63.11,14.03,13.78,13.45,13.75,13.91,21.25,21.10,1340.95,1266.23,use photo B
137,LOW,1/10/23,,,,,,,,2/9/23,,,,,,,,2/14/23,2.3564,2/23/23,44.00,14.00,2.7776,,80.37,81.52,86.84,80.95,82.91,10.36,10.53,9.82,10.24,10.45,24.76,24.56,2053.13,1987.60,used photo B
138,LOW,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.0566,2/16/23,37.00,13.00,3.1826,,76.07,76.64,81.85,76.36,78.19,11.99,12.23,11.48,11.90,12.11,23.10,22.89,1806.11,1747.77,use photo C
140,LOW,1/10/23,,,,,,,,2/5/23,,,,,,,,2/10/23,2.4867,2/20/23,41.00,15.00,2.3552,,74.53,75.41,80.04,74.97,76.66,11.63,11.81,10.82,11.42,11.72,23.58,23.28,1807.64,1745.30,
141,LOW,1/10/23,,,,,,,,2/5/23,,,,,,,,2/10/23,3.1305,,,,,not sure when blocked,75.91,77.43,82.90,76.67,78.75,13.46,13.48,12.38,13.11,13.47,21.89,21.53,1724.03,1650.71,
142,LOW,1/10/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.2806,2/16/23,37.00,13.00,2.2228,,69.47,70.54,75.00,70.01,71.67,13.08,13.24,12.35,12.89,13.16,22.11,21.84,1584.62,1528.91,
143,LOW,1/10/23,,,,,,,,2/5/23,,,,,,,,2/10/23,2.5378,2/17/23,38.00,12.00,2.5573,,73.06,74.01,77.60,73.54,74.89,13.20,13.26,12.04,12.83,13.23,22.17,21.77,1660.06,1600.86,
144,LOW,1/10/23,,,,,,,,2/5/23,,,,,,,,2/10/23,1.8,2/17/23,38.00,12.00,2.1701,,50.98,52.31,59.09,51.65,54.13,16.21,16.10,14.97,15.76,16.16,19.24,18.85,1041.40,973.25,
145,LOW,1/10/23,,,,,,,,2/6/23,,,,,,,,2/10/23,2.8701,2/18/23,39.00,12.00,2.9337,photo one day early,68.94,69.92,75.11,69.43,71.32,11.99,11.74,10.54,11.42,11.87,23.58,23.14,1681.57,1606.26,use photo B
146,LOW,1/10/23,,,,,,,,2/7/23,,,,,,,,2/12/23,2.8231,2/19/23,40.00,12.00,2.5576,,60.98,61.57,67.82,61.28,63.46,14.63,14.64,13.92,14.40,14.64,20.60,20.37,1307.42,1247.87,use photo C
147,LOW,1/10/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
148,LOW,1/10/23,,,,,,,,2/2/23,1236.8,1782,545.2,2920.2,1316,1604.2,328.8,2/7/23,4.003,2/11/23,32.00,9.00,2.857,,69.13,69.65,74.17,69.39,70.98,12.18,12.13,11.29,11.87,12.16,23.13,22.85,1642.08,1585.21,
149,LOW,1/11/23,,,,,,,,2/2/23,1241.6,1837.5,595.9,2471.9,847.1,1624.8,214.2,2/7/23,3.7515,2/12/23,32.00,10.00,2.614,,78.59,78.73,81.33,78.66,79.55,14.59,14.60,13.32,14.17,14.60,20.83,20.41,1657.03,1605.06,
150,LOW,1/11/23,,,,,,,,2/2/23,,,,,,,,2/7/23,2.3755,2/15/23,35.00,13.00,2.1427,,78.79,79.08,81.71,78.94,79.86,13.32,13.44,12.11,12.96,13.38,22.04,21.62,1760.38,1706.57,
151,LOW,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.7747,2/14/23,34.00,11.00,2.7502,,82.88,83.29,87.49,83.09,84.55,13.50,13.62,12.47,13.20,13.56,21.80,21.44,1843.54,1781.34,use photo B
152,LOW,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.0908,2/17/23,37.00,14.00,2.2557,,74.81,75.59,79.20,75.20,76.53,11.33,11.60,10.85,11.26,11.47,23.74,23.54,1816.90,1769.83,
